"identifier","sortkey","language","title","content"
"ccs00028","050.059","en","Epilepsy and febrile seizures (children)","Treatment of childhood epilepsy is based on exact diagnosis of seizure types, etiology and possible epilepsy syndrome. The treatment is targeted on long-term seizure control and prevention of cognitive problems caused by epilepsy, without significant harms and with good quality of life. Antiepileptic medication is usually initiated after the second epileptic seizure. Drug choice is based on seizure type and epilepsy classification. Surgical treatment options should be considered in children with drug-resistant epilepsy. Some children with epilepsy may benefit from ketogenic diet. Acute treatment for febrile seizures follows the same principles as treatment of epileptic seizures, but long-term preventive anticonvulsants are not recommended."
"ccs00014","004.010","en","Hypertension","Diagnosis is based on four sitting duplicate blood pressure measurements and confirmed by self-measurements or ambulatory monitoring. To reduce the overall cardiovascular risk, lifestyle-guidance is delivered. Drug treatment is initiated, if 1) the systolic pressure is ≥ 140 or diastolic ≥ 90 mmHg, and 2) home-measured or daytime ambulatory systolic pressure is ≥ 135 or diastolic≥ 85 mmHg. The general goal is systolic/diastolic pressure below&lt; 140/90 mmHg. The goal is higher for the elderly and lower for patients with diabetes, kidney disease and albuminuria. Combination drug treatment is often needed."
"ccs00016","006.030","en","Asthma","Asthma is an inflammatory disease of the lower airways. The typical symptoms of asthma are cough, wheezing and shortness of breath. Asthma is diagnosed based on measures of pulmonary function showing variable or reversible airways obstruction. The basic pharmacological treatment consists of alleviating the asthmatic inflammation with regular inhaled glucocorticoids and relieving sudden obstructions with as-needed inhaled beta2-agonists. The treatment is adjusted based on asthma control. If good control of asthma is not achieved with low to medium doses of inhaled glucocorticoids, additional control medication (inhaled long acting beta2-agonists, antileukotrienes, in adults also theophylline or tiotrohium) should be introduced."
"ccs00104","011.060","en","Prostate cancer","The annual incidence of prostate cancer (PC) in Finland was 4 700 (year 2010). The treatment decision is made together with the patient according to patient characteristics, cancer classification and recurrence risk rate. For local PC, recommended treatment is active surveillance, radical prostatectomy, radiation (+/- hormonal) therapy or hormonal therapy. Metastatic PC patients are treated with hormonal therapy. The aim for castrate resistant metastatic PC patients is to improve quality of life and relieve symptoms. The 5-year survival rate is 93 %. Follow-up is tailored individually. Population based PSA screening is not recommended."
"ccs00110","050.101","en","Eating disorders","Early diagnosis with intervention is linked to better outcome. In primary care patients in risk for eating disorder should be screened and actively asked about eating disorder symptoms. Treatment is mainly out-patient care and should first be focused on gaining a normal nutritional status. It is important to involve the patient’s family in the treatment. A confidential relationship between health care professionals and the patient is important. The patient’s own motivation and readiness for recuperation are essential. Different therapeutic and psychosocial approaches are central in the treatment, as the disorders are psychiatric. Medical treatment may bring additional help in treating binge-eating disorder or bulimia nervosa, but it is seldom of help in treating anorexia nervosa. Piia Vuorela (Current Care Editor)"
"ccs00058","050.079","en","Diabetes-related foot problems","Foot ulcers due to neuropathy and/or ischemia, often complicated by infection, are a leading cause of hospitalisation and amputation in diabetic patients. Sensory neuropathy, foot abnormality, missing pulses and previous history of ulcers or amputation are risk factors for ulceration. Regular examination of feet and protective footwear reduce this risk. Off-loading the ulcer area promotes healing. Revascularisation improves the blood supply in cases where it has been compromised. Systemic antibiotics are only required in the case of acute foot infections and osteomyelitis with an underlying ulcer. Prevention and treatment of foot ulceration by multidisciplinary teams, including podiatric services, decreases amputations by up to 85%."
"ccs00070","004.050","en","Diagnostics of acute myocardial infarction","In a patient with acute chest pain or other symptoms suggestive of acute myocardial infarction (MI), a 12-lead electrocardiogram with at least two additional leads (V4R and V8), should be immediately recorded and evaluated. Telemedicine transmission of prehospital electrocardiograms for diagnostic evaluation should be part of regional systems of care. Troponin T and I are the recommended biomarkers for MI diagnosis. Implementation of uniform diagnostic criteria for acute MI is a prerequisite for high quality epidemiological studies and for the development of proper performance indicators to assess quality of care."
"ccs00064","050.030","en","Status epilepticus","Status epilepticus is a medical emergency. Most epileptic seizures last for 1−4 minutes. Seizures lasting over five minutes should be treated as status epilepticus. EEG is essential for diagnostics. The treatment can be divided into first-aid medications, such as buccal/intranasal midazolam or rectal diazepam, first-line medications such as intravenous diazepam or lorazepam, and second-line medications such as fosphenytoin, levetiracetam, valproate and lacosamide, and in addition phenobarbital for children. Third-line treatment is suppressive general anaesthesia, monitored by continuous EEG. Antiepileptic medication of patients with epilepsy should be carefully re-evaluated after status epilepticus."
"ccs00071","031.050","en","Acute otitis media","The diagnosis of acute otitis media is based on the presence of middle-ear effusion, signs of inflammation of the tympanic membrane, and signs and symptoms of an acute infection. Effective treatment of ear pain is crucial in the management of the disease. Antibiotic treatment for 5–7 days with amoxicillin or amoxicillin/clavulanate is recommended as a rule, because antibiotics shorten the time to resolution of illness, and no individually applicable criteria to guide antibiotic use are available. The follow-up of children with acute otitis media should be tailored individually. Tanja Laukkala (Current Care editor)"
"ccs00111","050.103","en","Pain","Management of patients suffering from chronic pain is based on long-term therapeutic relationship. The main objectives of the treatment are pain relief, restoration of function and improvement of quality of life. Interventions for treatment and rehabilitation need to be planned in agreement with the patient. Non-pharmaceutical interventions form the basics of the treatment. If medication is needed, it should be tailored to meet the individual needs of the patient according to the etiology and intensity of pain, comorbidities and psychosocial situation."
"ccs00105","050.078","en","Caries (control)","The updated guideline emphasizes the cooperation of laypeople and dental professionals in preventing dental decay. Caries control in everyday life is most important. It includes brushing teeth twice a day with fluoridated toothpaste, following regular eating patterns, using water for quenching thirst and preventing early colonization of mutans streptococci. If caries lesions still develop, risk factors should be identified and tackled by individually tailored preventive program including monitoring its efficacy. Patient commitment, diet counselling, use of xylitol products, enhanced self-care and fluoride use, sealants, resin-infiltration and shortened recall intervals may be included in the preventive program."
"ccs00107","050.099","en","The tendon disorders of the shoulder","Degenerative rotator cuff tendon disease (tendinopathy) is the most common disorder of the shoulder. A full-thickness tear of the rotator cuff may be caused by degeneration, or it may develop due to an acute trauma. The typical symptoms include pain and functional deficiencies. Diagnostics is based on clinical findings. The primary radiologic imaging is x-ray. Degenerative tendon diseases are primarily treated conservatively in primary health care, the most important treatment modality is physiotherapy-guided therapeutic rehabilitation. Surgical treatment is considered in full-thickness rotator cuff tears, especially after traumatic onset."
"ccs00067","036.070","en","Multiple sclerosis","Treatment for relapsing-remitting multiple sclerosis (RRMS) is initiated upon fulfillment of new McDonald 2017 criteria, including lumbar puncture. At the time of diagnosis RRMS is classified as active or highly active based on the relapse rate and magnetic resonance imaging findings. For active RRMS, interferon-β, dimethyl fumarate, glatiramer acetate, ocrelizumab and teriflunomide are recommended treatments. For highly active disease, whether on previous immunomodulating drug treatment or not, alemtuzumab, cladribine, fingolimod, natalizumab or ocrelizumab are recommended. Ocrelizumab may also be used for primary progressive MS. Rehabilitation should be considered at every phase of the disease."
"ccs00073","050.030","en","Venous insufficiency of the lower limb","Venous insufficiency of the lower limb is a common disease. Diagnosis is based on symptoms, clinical findings and duplex ultrasound. Consideration and planning of invasive treatment cannot be performed without ultrasound. Vast majority of invasive treatments in superficial venous insufficiency can be done by ultrasound-guided endovenous methods with local anesthesia. Thermoablation (laser or radiofrequency) is the first-line treatment. There are promising endovenous methods for treatment of deep venous obstruction in selected cases."
"ccs00099","050.094","en","Shortened dental arch (SDA)","The shortened dental arch (SDA) 10 occluding pairs is often accepted by the patient. However, SDA carries a risk for temporomandibular disorders and instable occlusion, although these effects are usually transient. If the missing molars are replaced, implants are the most recommendable choice, although the negative effects of removable prostheses can also be prevented with a proper treatment plan. Individual preventive dental care must always be included in the treatment."
"ccs00106","020.001","en","Low back pain","Classification to severe diseases, sciatic symptoms or non-specific back pain is recommended. Radiography in acute or subacute non-specific back pain is not recommended in the primary health care. In specialized care magnetic resonance imaging is the main imaging modality. Importance of patient information is emphasized. In acute non-specific pain avoidance of bed rest, advice and paracetamol are recommended. Indications for an emergency referral should be considered. In disabling pain for 6 weeks, multidisciplinary measures are needed. Pain over 3 months indicates intensive multidisciplinary rehabilitation, and also surgery may be considered."
"ccs00112","050.104","en","Pregnancy contraception","There are no age limits for the start or use of contraception. Prior gynecological examination or cervical smear is not needed. Condom is the only method that protects from sexually transmitted diseases. An increase in the risk of venous thromboembolism (VTE) is associated only with combined contraceptives. However, the risk is remarkably higher with pregnancy, puerperium or with smoking. The most effective reversible methods are intrauterine devices (IUD) and implants, as these do not depend on daily memory. Natural family planning methods are not reliable, and effective contraception should be easily available for all at all times."
"ccs00116","050.109","en","Distal radius fracture","Distal radius fracture is the most common upper limb fracture. It is usually caused by a fall onto an out-stretched hand. Diagnostics is based on clinical findings, and the primary imaging method is x-ray. A typical distal radius fracture (Colles) can usually be treated non-operatively by closed reduction and application of a dorsal cast with the hand in a functional position. Operative treatment is considered when satisfactory alignment cannot be achieved by closed reduction or when alignment is lost during follow-up. Recovery from the fracture may take up to 6 to 12 months. Regardless of treatment modality and fracture alignment some patients will still suffer from permanent functional disability."
"ccs00102","024.065","en","Osteoporosis","The updated Current Care Guideline emphasizes the importance of early diagnosis of osteoporosis, to enable both primary and secondary prevention of osteoporotic bone fractures. Changes in lifestyle should always be an important part of patient education. In addition, drug treatment should be considered for those with high risk of osteoporotic fracture. Oral bisphosphonates are the drug of choice to most patients requiring medical treatment."
"ccs00089","017.010","en","Resuscitation","The Finnish national resuscitation guideline is based on update by European Resuscitation Council in 2015, accompanied by scientific evidence by International Liaison Committee on Resuscitation. The most important action in cardiopulmonary resuscitation is chest compression. The use of automated external defibrillators (AED) also by laymen is strongly recommended. Health care providers need further training of basic life support. The guideline emphasizes the importance of good airway management, the choice of medication therapy and therapeutic hypothermia following cardiac arrest. In hospitals, patients at risk for cardiac arrest should be identified and preventive actions taken."
"ccs00062","050.023","en","Depression","Treatment of depression is based on comprehensive diagnostic, clinical and psychosocial evaluation. Brief psychotherapies (cognitive-behavioural, interpersonal, psychodynamic or problem-solving) are effective in mild to moderate depression; antidepressants in mild to severe, and electroconvulsive therapy (ECT) in severe or psychotic depression. Combining antidepressants and psychotherapies is more effective than either treatments alone. After the acute phase, antidepressants should be continued for six months to prevent relapses, and maintenance treatment considered after three lifetime episodes. Primary care is responsible for treatment of mild to moderate depressions; developing psychiatric consultation services and use of nurse case managers are recommended."
"ccs00076","050.085","en","Developmental Language Disorder (DLD)","Developmental Language Disorder (DLD) affects a child’s functional, social and communication capacity. The associated language comprehension problems may be difficult to recognise in everyday life. Although the diagnosis of DLD is most reliable after four years of age, early support must be provided as soon as there is any suspicion of DLD. Diagnosis, rehabilitation and other therapeutic manoeuvres are based on multiprofessional co-operation."
"ccs00063","021.010","en","Rheumatoid arthritis (RA)","Patients with signs and symptoms of early rheumatoid arthritis (RA) should be referred to a multidisciplinary rheumatology clinic. The ACR-EULAR criteria help in identification of patients with risk for erosive RA. Treatment should aim at early remission. Start with the combination of methotrexate, hydroxychloroquine, sulfasalazine, and low-dose glucocorticoid is recommended if no contraindications. Methotrexate has better bioavailability as injection. Glucocorticoids are injected to active joints. Patient education with shared decision is essential. Exercise training is recommended. If treatment target is not achieved by the DMARD combination, a biological drug is added."
"ccs00088","050.089","en","Preterm birth","The updated Finnish Current Care guidelines on preterm birth include recommendations on prevention, diagnosis and treatment of preterm labour. If a woman presents with imminent preterm labour, glucocorticoid prophylaxis should be administered from week 22+5. Broad spectrum antibiotics should be administered, if membranes are ruptured. Foetal distress and clinical chorioamnionitis indicate immediate delivery. Deliveries less than 32 weeks of pregnancy should be centralised in tertiary units."
"ccs00117","050.077","en","Atopic eczema","Atopic eczema is a chronic, pruritic, inflammatory dermatosis. It follows a relapsing course with acute flares. The diagnosis of atopic eczema is made clinically. Self-management with moisturizers, periodical topical corticosteroids, daily bathing with water and avoiding of irritating agents are the basis of the treatment. If the treatment goals are not reached topical calcineurin inhibitors are used. Both topical corticosteroids and calcineurin inhibitors can be used twice weekly to reduce number of relapses. In addition the guideline describes treatment of children and gravid women."
"ccs00101","050.098","en","Lower Respiratory Tract Infections in Children","All respiratory viruses are capable of causing lower respiratory tract infections. Active testing of influenza viruses during influenza epidemics is recommended. Antitussive medications are ineffective and should not be used. Croup presenting with inspiratory stridor is recommended to be treated with oral corticosteroids and inhaled racemic adrenalin. Corticosteroids and inhaled racemic adrenalin are ineffective for the treatment of bronchiolitis. Inhaled salbutamol administered by a spacer (with a mask) is recommended for wheezy bronchitis. Amoxicillin is recommended for treating pneumonia at home and intravenous penicillin in hospital (combined with macrolide if mycoplasma is suspected). Pertussis is treated with azithromycin or clarithromycin. Tuula Meinander (Current Care Editor)"
"ccs00129","050.123","en","Non-alcoholic fatty liver disease (NAFLD)","There is an epidemic of NAFLD which parallels those of obesity and diabetes. NAFLD covers a spectrum of disease from simple steatosis to non-alcoholic steatohepatitis (NASH) and various stages of fibrosis up to cirrhosis, and is also an increasingly important risk factor for primary hepatocellular carcinoma. Non-invasive fibrosis scoring systems and elastography can be used to identify those at risk of advanced fibrosis in NAFLD. These patients should be referred to a specialist. Life-style modification (weight loss, exercise) underpins the management of NAFLD. Pharmacological therapy, bariatric surgery and liver transplantations may be indicated in patients with advanced liver fibrosis."
"ccs00061","050.081","en","Acute Kidney Injury","Acute kidney injury (AKI) is an increasing problem. Early detection of risk patients, prevention of nephrotoxic medication and dehydration related AKI and contrast-induced nephropathy is essential. Treatment of AKI is based on sufficient fluid therapy and prevention of hypovolemia. Early initiation of renal-replacement therapy does not seem to decrease mortality. Raija Sipilä (Current Care editor)"
"ccs00049","050.075","en","Physical activity and exercise training for adults in sickness and in health","The purpose of the guideline is to promote physical activity in the prevention, treatment and rehabilitation of diseases. Physical activity plays a key role in the management of several chronic noncommunicable diseases. In this guideline, the following diseases are discussed: endocrinological, cardiovascular, musculoskeletal and respiratory diseases, as well as depression and cancer. In addition, physical activity during pregnancy and in senior citizens is review. Exercise counseling should be included as part of disease management and lifestyle guidance."
"ccs00048","036.050","en","Migraine","Mild migraine attack can be treated with parasetamol or NSAIDs either alone or combined with metoclopramide. In severe and devastating attacks triptans should be taken immediately, and not afterwards, when first line NSAIDs have proven unefective. No significant differences between triptans can be shown in clinical practice, when recommended doses are used. Opioid analgesics should not be used in the treatment of migraine. The recommended drugs for migraine attacks in children are parasetamol or ibuprophen. Also intranasal sumatriptan can be used. The first line drugs for prophylactic treatment of migraine are non-ISA betablockers or candesartan and amitriptyline."
"ccs00060","050.080","en","Posttraumatic Stress Disorder","The updated Current Care Guidelines for PTSD includes assessment and treatment of acute stress reaction (ASR), acute stress disorder (ASD) and posttraumatic stress disorder (PTSD) in all age groups. Psychosocial support and active monitoring are recommended after a potentially traumatic event. If symptoms require, short focused cognitive-behavioral psychotherapy can be used for ASD. Trauma-focused psychotherapeutic interventions are the first-line treatment for post-traumatic stress disorder (PTSD). Antidepressant medication is effective, but evidence on other pharmacological options and on treatment combinations is limited. Specific groups, such as first responders, military and peacekeeping personnel may require tailored interventions."
"ccs00074","050.083","en","Peripheral arterial disease","Since peripheral arterial disease (PAD), is under-recognised by health care professionals and the public, it is sub-optimally treated compared to coronary and cerebrovascular disease. It’s prevalence is increasing alongside the ageing of the population and the growing incidence of diabetes. PAD increases the risk of cardiovascular events. Critical limb ischemia (CLI), the first manifestation of PAD in 60% of diabetics, leads to major amputation in 25–50% of cases during the first year. The treatment of risk factors, including antithrombotic therapy, is important, even in the case of asymptomatic patients. In CLI, revascularisation is indicated in order to avoid major amputations. The current guidelines are aimed at increasing knowledge of PAD and unifying diagnosis and treatment in Finland."
"ccs00128","050.087","en","The assessment of sick leave","This new Guideline focuses on the early assessment of sick leave and support on return-to-work practices such as part-time sick leave. The aim of this guideline is to help clinicians to utilize sick leave as a part of treatment and rehabilitation in line with international research evidence, national legislation and good clinical practice guidance on individual diseases. The role of occupational health care is emphasized especially in those situations when sick leave continues over 90 days during a two-year period. Also evaluation of unemployed adults is discussed."
"ccs00119","050.107","en","Age-related macular degeneration (AMD)","Age-related macular degeneration (AMD) is the main cause of visual impairment in developed countries. Several improvements in the visualization of posterior segment of the eye together with the introduction of intravitreal anti-VEGF treatment have revolutionized the prognosis of the wet form of AMD (wAMD). Increasing incidence of wAMD together with the limited resources of the healthcare systems pose challenges for the provision and development of care. In context of these current aspects, we aim to set evidence-based medicine guidelines for diagnosis, treatment and follow-up of patients with wAMD."
"ccs00125","050.118","en","Conduct Disorders","This guideline covers prevention, diagnosis and treatment of Conduct disorders in children and adolescents. Diagnosis is based on long lasting, age inappropriate symptoms of aggression and antisocial behaviour (ICD-10, DSM-5). Psychiatric comorbidity is common. Preventive actions should be implemented. Treatment should be tailored individually to include psychoeducation, psychosocial interventions and support, and rarely medication. Collaboration with family, day-care/school, and social work is essential. Evidence-based psychosocial intervention is parent management training, which may be enhanced by cognitive behavioral intervention on social skills to the child/adolescent. For adolescents, multimodal psychosocial interventions accompanied by medication, when needed have proven most useful."
"ccs00131","050.124","en","Obesity in children, adolescents and adults","Obesity in childhood and adolescence often continues into adulthood. Promotion of healthy lifestyle (nutrition, physical activity and sufficient sleep) is crucial for both prevention and treatment of obesity. Family-centered approaches are the most effective in children. In adults the aim is to prevent and alleviate co-morbidities (e.g. type 2 diabetes, hypertension), and a weight loss of 5 % induces favourable changes. The cornerstones of weight management in adults are lifestyle changes, which can be supplemented by very-low-energy diets and drug therapy. Bariatric surgery is indicated in cases of morbid obesity, if conservative therapies are not successful."
"ccs00092","050.040","en","Hip fracture","Hip fractures often lead to disability and need for long-term care. To prevent fractures, the risk of falls should be assessed regularly and modifiable risk factors should be eliminated. Hip fracture patients’ care should be seamless and based on comprehensive geriatric assessment. Surgical treatment should enable early mobilization. Cemented fixation is preferred for hip replacements. Multidisciplinary geriatric care and rehabilitation improve outcomes and help to prevent complications, including delirium. Rehabilitation is tailored individually, should include strength training and should continue after discharge. Identifying reasons for fracture is essential for preventing future fractures."
"ccs00086","008.001","en","Coeliac disease","Positive endomysium antibodies (EmA) and high concentrations of tissue transglutaminase antibodies (tTG) have excellent accuracy for coeliac disease. The updated guideline recommends using tTG as the first-line diagnostic investigation. Diagnosis can be made without endoscopy in subjects with tTG &gt;10x upper limit of normal and positive EmA; in other cases intestinal biopsy is needed. Skin biopsy is required for the diagnosis of dermatitis herpetiformis. The treatment is a life-long gluten-free diet initiated under the supervision of a dietitian. The possibility of refractory coeliac disease should be remembered particularly in older persons and in those with inadequate dietary response."
"ccs00079","029.010","en","Headache (children)","The majority of children with recurrent headaches can be effectively treated in the primary health care. Paracetamol and ibuprofen are the recommended first–line pain medications. Limited evidence is available on the effectiveness of triptans in children and adolescents. However, nasal sumatriptan and possibly oral rizatriptan and nasal zolmitriptan can be considered for children and adolescents, as well as oral almotriptan for adolescents. Propranolol is the first-line prophylactic medication for migraine. Tanja Laukkala (Current Care editor)"
"ccs00045","050.076","en","Bipolar affective disorder","Bipolar affective disorder (BD) is a long-term psychiatric disorder presenting remittent depressive, hypomanic, manic or mixed episodes of illness and asymptomatic intermediate periods. Serious risk of self-destructive behaviour apply. Patients are typically symptomatic half of the time. Treatment focuses on preventing the recurrence of episodes. The care is based on mood stabiliser and antipsychotic medication in accordance with the patient’s current symptoms. Psychosocial interventions as an add-on treatment can improve the outcome."
"ccs00044","050.060","en","Diabetic kidney disease","Diabetic kidney disease is a chronic disease with manifestations of reduced glomerular filtration rate (GFR) and increased albuminuria. Risk factors include poor glycemic control, hypertension, smoking, dyslipidemia and hereditary factors. Albuminuria and GFR should be screened annually for type 1 diabetics after more than 5 years and for type 2 diabetics from diagnosis. Renal function and response to treatment are monitored at least once a year. The progression of disease can be prevented by effective, comprehensive treatment of all risk factors which also reduces the risk of developing cardiovascular events. Drug treatment of progression of diabetic kidney disease has evolved considerably during last years."
"ccs00130","050.122","en","Treatment of suicidal patient and suicide prevention in health care","This guideline focuses on the assessment and treatment of suicidal patients and describes current knowledge on the prevention of suicides by health care interventions and in health care settings among youths, adults and the elderly. Comprehensive assessment and evidence -based interventions such as safety plan and CBT focused on suicidality are recommended. Easy accessible diverse evidence -based treatment of psychiatric disorders is essential, a majority of suicidal patients suffer from psychiatric disorders. Recommendations of pharmacological treatments with e.g. lithium, clozapine or ketamine relate to concurrent psychiatric disorders."
"ccs00118","050.110","en","Endodontic treatment","The Finnish guideline on endodontics emphasizes good quality of endodontic treatment and coronal seal of the restoration. For prevention of endodontic treatment need caries control is essential. For deep carious lesions stepwise excavation or partial caries removal are recommended. Partial pulpotomy can be used if bleeding can be controlled. The decision for root canal treatment is based on prognosis, occlusion and general health of the patient. The use of kofferdam is essential in aseptic working. Chemomechanical preparation with NaOCl and root canal filling within 0-2 mm from the apex improve prognosis. Healing should be controlled annually up to four years."
"ccs00126","050.119","en","Anxiety Disorders","The Current Care Guideline on Anxiety Disorders assesses the diagnostics, psychosocial and pharmacological treatment and rehabilitation of Generalized Anxiety Disorder, GAD, Panic Disorder, PD, with or without Agoraphobia, and Social Anxiety Disorder, SAD. The symptoms of anxiety are common, as is psychiatric and somatic comorbidity, and the majority of the patients are cared for in the primary care. Severe symptoms of anxiety are assessed with psychiatric consultations or in psychiatric care. Psychotherapy and antidepressants are first-line treatments to these anxiety disorders. Evidence on the benefits of exercise as treatment is limited."
"ccs00091","050.090","en","Antimicrobials in acute dentistry","In most cases, acute oral infections originate from the dentition. Dental procedures targeted at the infection source are the cornerstone of management. Antimicrobials are secondary to appropriate dental care and their use does not allow postponing elimination of the infection source. Medically compromised patients are more susceptible to odontogenic infection complications and antimicrobials have a more important role in their treatment. Due to increasing antimicrobial resistance prophylaxis and treatment should be considered individually and targeted at patients likely to benefit most, taking into account both the patient and procedure-related risk factors."
"ccs00046","014.010","en","Allergen immunotherapy (AIT)","AIT includes the specific treatment of IgE-mediated allergic diseases, indicated for allergic rhinitis and conjunctivitis, allergic asthma, and venom allergy. Subcutaneous AIT with pollens, animal danders, insect venoms and house dust mite preparations for allergic rhinitis and asthma is effective and safe for adults and children. Sublingual AIT indicated for allergic rhinitis caused by grass pollens and birch is effective and safe. AIT may raise the threshold of reactivity to foods in children with severe food allergy but is associated with serious adverse effects and should be used only in clinical research settings."
"ccs00052","050.067","en","Insomnia","Insomnia symptoms must be differentiated from insomnia disorder. The correct diagnosis of insomnia disorder is important, as insomnia may also be a symptom of many other diseases. Cognitive behavioral methods are recommended as first-line treatment options. Treatment of acute insomnia with hypnotics should not exceed two weeks. In elderly persons adverse effects of hypnotics may exceed their beneficial effects in long-term use. Antidepressive medications acting on the histamine-1 system may be used in very small doses. The new guideline includes e.g. insomnia in pregnant and menopausal women and in cancer patients, and driving issues."
"ccs00047","050.068","en","Gestational diabetes","Gestational diabetes screening using a 75 g oral glucose tolerance test should be offered to all pregnant women, except those who are at low risk. 10–15% of gestational diabetes is caused by LADA (Latent Autoimmune Diabetes in Adults) or MODY (Maturity Onset Diabetes in the Young), in which mothers generally sustain a normal body weight. The diagnostic criteria for gestational diabetes are venous plasma glucose levels ≥ 5,3 mmol/l (fasting), ≥ 10,0 mmol/l (1 h) and ≥ 8,6 mmol/l (2 h). Achieving a normal body weight is crucially important to mothers after delivery."
"ccs00084","013.020","en","Bacterial skin infections","Bacterial skin infections are common, and range from mild to serious, even life-threatening infections. This guideline presents treatment options for erysipelas, cellulitis, impetigo, ecthyma, folliculitis, abscess, paronychia (nail infection) and early borreliosis as well as for erysipeloid, mycobacterial skin infections and tularemia. Recommended antibiotic and/or other treatments are described for children and adults."
